0,Task 1,Task 2,Task 3,Task 4,Task 5,Task 6,Task 7,Task 8,Task 9,Task 10,Task 11,Task 12,Task 13,Task 14,Task 15
onset,,,,,,,,,,,,,,,
duration,,,,,,,,,,,,,,,
stim,emp1,emp2,em3,emp4,emp5,emp6,emp7,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8
Empathy1,2,8,2,2,2,2,2,,,,,,,,
Empathy2,5,5,7,7,5,7,6,,,,,,,,
Empathy3,4,3,6,5,4,7,5,,,,,,,,
Empathy4,4,2,5,4,4,6,5,,,,,,,,
Recall_1,,,,,,,,"i need gain weight actually, so it's kinda boring to me",positive motivated,facebook page,positive,facebook page,same people same thing,same people same thing,same people same thing
Recall_2,,,,,,,,Losing weight doesn't means eating less but means gain your calories burning,way of dieting,way of dieting,way of dieting,way of dieting,same people same thing,same people same thing,same people same thing
Source_credibility1,,,,,,,,5,5,5,6,6,6,7,6
Source_credibility2,,,,,,,,5,5,5,5,6,6,6,5
Source_credibility3,,,,,,,,3,4,5,6,6,6,7,6
Source_credibility4,,,,,,,,7,6,5,5,6,5,6,6
Source_credibility5,,,,,,,,7,6,6,6,6,6,7,6
Behavior_Intention1,,,,,,,,5,5,5,4,5,4,6,5
Behavior_Intention2,,,,,,,,5,5,5,5,5,3,6,4
Behavior_Intention3,,,,,,,,5,5,5,5,5,6,5,5
SP1,,,,,,,,6,4,4,4,5,5,6,5
SP2,,,,,,,,4,4,5,5,5,4,5,4
SP3,,,,,,,,2,4,4,4,5,5,5,5
SP4,,,,,,,,3,4,5,5,5,4,6,4
SP5,,,,,,,,3,2,2,4,5,5,5,5
SP6,,,,,,,,3,2,2,5,5,4,6,4
PSI_1,,,,,,,,3,2,3,4,4,5,6,5
PSI_2,,,,,,,,3,2,3,5,5,4,5,4
PSI_3,,,,,,,,3,2,3,4,4,6,6,5
PSI_4,,,,,,,,3,3,4,5,5,5,5,4
PSI_5,,,,,,,,3,3,3,5,5,4,5,5
PSI_6,,,,,,,,2,2,3,5,4,5,5,4
PSI_7,,,,,,,,2,2,4,4,4,6,6,5
Presence1,,,,,,,,1,3,3,3,4,5,6,5
Presence2,,,,,,,,1,3,3,5,3,4,5,4
Presence3,,,,,,,,2,3,3,5,4,5,6,5
Presence4,,,,,,,,2,3,3,4,4,4,6,4
Presence5,,,,,,,,4,2,4,5,5,4,5,5
Presence6,,,,,,,,3,2,3,4,4,5,6,4
Presence7,,,,,,,,3,3,3,5,5,5,5,5
Presence8,,,,,,,,2,3,4,4,5,4,6,5
Presence9,,,,,,,,4,3,3,5,4,5,5,4
Presence10,,,,,,,,1,3,4,4,4,4,6,5
Presence11,,,,,,,,6,3,3,5,5,5,5,4
Adj_SP1,,,,,,,,6,4,4,6,6,6,6,6
Adj_SP2,,,,,,,,5,4,4,5,5,5,5,5
Adj_SP3,,,,,,,,6,5,6,5,5,6,6,6
Adj_SP4,,,,,,,,6,5,6,5,6,5,5,5
Adj_SP5,,,,,,,,6,5,5,6,6,6,6,6
Adj_SP6,,,,,,,,6,4,5,5,5,5,6,6
Adj_SP_cog1,,,,,,,,6,4,4,6,5,6,6,6
Adj_SP_cog2,,,,,,,,5,5,4,6,6,5,6,6
Adj_SP_cog3,,,,,,,,3,4,6,6,5,6,6,7
HealthConcern1,,,,,,,,4,6,6,6,5,6,5,6
HealthConcern2,,,,,,,,6,6,6,5,5,5,4,5
HealthConcern3,,,,,,,,6,5,6,6,5,6,5,6
HealthConcern4,,,,,,,,6,7,5,5,5,5,4,5
HealthConcern5,,,,,,,,6,5,5,6,5,6,5,6
Content_affective1,,,,,,,,6,5,5,5,6,5,4,6
Content_Cog1,,,,,,,,6,5,5,6,5,6,5,6
Content_Cog2,,,,,,,,,,5,,6,,,
Content_Cog3,,,,,,,,,,7,,6,,,
Content_affective2,,,,,,,,,,7,,5,,,
Content_affective3,,,,,,,,,,5,,6,,,
Content_affective4,,,,,,,,,,7,,5,,,
